Id,Tags,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology,AorN
1935115,<android><nullpointerexception>,0,12/20/2009 7:25,121,1,2,,2355649,30429,2,6,android,N
1887758,<android><flash>,6,12/11/2009 12:27,23111,4,1,4,2355649,30429,2,6,android,N
1266145,<localization><passwords><windows-xp><right-to-left>,6,8/12/2009 13:25,204,2,1,1,1898,62916,4,4,null,N
1197888,<asp.net><security><connection-string>,2,7/29/2009 3:15,186,3,0,0,1899,2561,3,11,asp.net,N
963535,<java><jsf><seam><facelets>,0,6/8/2009 5:37,559,3,1,1,1900,7881,4,7,java,N
654565,<xml><xslt><xslt-1.0>,0,3/17/2009 14:50,2600,2,1,,1900,7881,3,8,xml,N
1142067,<javascript><sharepoint><cross-browser><user-agent>,0,7/17/2009 8:43,567,1,0,,1909,13571,4,5,javascript,N
1611471,<sharepoint><sharepoint-2007><moss><wss><sharepoint-designer>,0,10/23/2009 5:05,1398,2,0,,1909,13571,5,5,sharepoint,N
1716113,<sharepoint><sharepoint-2007><sharepoint-designer><sharepoint-workflow>,2,11/11/2009 15:54,4172,1,0,,1909,13571,4,13,sharepoint,N
454113,<c#><oop>,1,1/17/2009 21:44,772,4,0,,1912,23809,2,8,c#,N
463419,<.net><oop><reflection><interface>,0,1/20/2009 22:38,722,6,0,1,1912,23809,4,8,.net,N
492936,<c#><.net><winforms><user-controls><combobox>,3,1/29/2009 19:00,3344,3,0,2,1912,23809,5,8,c#,N
617924,<windows-mobile><zip><mobile-phones><unzip>,3,3/6/2009 7:07,4534,3,0,2,1918,8355,4,9,null,N
614107,<mobile><sms><mobile-website><wap>,14,3/5/2009 9:35,100360,2,0,7,1918,8355,4,10,null,N
1855671,<sql><algorithm><math><statistics>,12,12/6/2009 15:21,4141,5,2,11,1923,2589,4,5,sql,N
1451072,<asp.net><asp.net-mvc>,0,9/20/2009 14:01,52,2,1,,1929,4749,2,3,asp.net,N
554689,<asp.net><jquery><asp.net-mvc><t4>,2,2/16/2009 21:45,1950,2,0,,1929,4749,4,8,asp.net,N
826785,<nhibernate>,0,5/5/2009 20:29,1513,1,0,2,1929,4749,1,6,nhibernate,N
806097,<nhibernate><fluent-nhibernate><nhibernate-mapping>,0,4/30/2009 9:29,496,1,0,,1929,4749,3,7,nhibernate,N
774089,<sql-server><string><algorithm><comparison><sql-like>,0,4/21/2009 18:59,736,5,3,,1942,105787,5,4,null,N
704431,<open-source><project-management>,9,4/1/2009 7:38,536,3,0,7,1944,18240,2,7,null,N
459427,<vba><excel>,2,1/19/2009 22:24,3085,4,0,,1946,66227,2,20,null,N
587179,<asp.net-mvc><unit-testing><rhino-mocks><controllercontext>,4,2/25/2009 18:15,2226,1,0,2,1946,66227,4,12,asp.net-mvc,N
537408,<c#><.net><reflection>,2,2/11/2009 15:48,207,4,1,,1946,66227,3,15,c#,N
461983,<vba><excel>,1,1/20/2009 16:15,8532,3,0,,1946,66227,2,8,null,N
736204,<.net><sql-server><xsd>,0,4/9/2009 23:10,521,3,0,,1946,66227,3,12,.net,N
1562733,<performance><cucumber><ironruby>,1,10/13/2009 20:29,572,3,0,1,1946,66227,3,7,null,N
734478,<structuremap>,0,4/9/2009 14:27,445,1,0,,1946,66227,1,12,null,N
1009963,<c#><algorithm><data-structures><hierarchical-grouping>,2,6/17/2009 23:06,1282,5,1,1,1946,66227,4,4,c#,N
730220,<nhibernate><fluent-nhibernate><nhibernate-mapping>,3,4/8/2009 14:15,2186,1,0,,1946,66227,3,11,nhibernate,N
1578612,<ruby><language-agnostic><design-patterns>,0,10/16/2009 14:59,42,1,1,,1946,66227,3,13,ruby,N
1016309,<database-design><inheritance><data-modeling><rdbms><multiple-inheritance>,2,6/19/2009 4:07,2248,6,0,1,1946,66227,5,10,null,N
1017934,<ruby-on-rails><ruby><inheritance><activerecord><multiple-inheritance>,2,6/19/2009 13:22,2060,4,5,1,1946,66227,5,10,ruby-on-rails,N
944944,<.net><authentication><open-source>,2,6/3/2009 14:02,1509,1,4,0,1946,66227,3,5,.net,N
958422,<visual-studio><resharper><development-environment><color-scheme>,24,6/5/2009 22:21,12134,6,0,12,1950,99604,4,13,null,N
1597195,<wiki>,3,10/20/2009 20:44,168,6,0,,1959,12976,1,6,null,N
617105,<asp.net><ajax><xmlhttprequest><httphandler>,2,3/5/2009 23:09,5248,6,1,1,1965,156382,4,6,asp.net,N
1095268,<sql-server><caching>,8,7/7/2009 22:55,7356,2,0,3,1965,156382,2,9,null,N
1450243,<analytics>,1,9/20/2009 3:40,1204,2,2,2,1965,156382,1,9,null,N
463800,<javascript><jquery><internet-explorer-6>,10,1/21/2009 1:16,40264,12,3,2,1965,156382,3,5,javascript,N
727859,<asp.net-ajax><updatepanel>,1,4/7/2009 22:36,445,1,0,,1965,156382,2,9,asp.net-ajax,N
990799,<lucene.net>,6,6/13/2009 14:48,1278,4,1,2,1965,156382,1,9,null,N
647112,<iphone><android><user-interface><touchscreen>,8,3/15/2009 2:05,479,2,2,3,1965,156382,4,5,android,N
429758,<c#><ado.net><idatareader>,6,1/9/2009 21:13,1746,3,0,2,1965,156382,3,5,c#,N
849682,<sql-server>,0,5/11/2009 19:34,282,2,0,,1965,156382,1,10,null,N
572138,<asp.net><webforms>,2,2/21/2009 3:41,1791,6,2,,1965,156382,2,3,asp.net,N
758264,<asp.net><asmx><httphandler>,1,4/16/2009 22:17,926,1,0,,1965,156382,3,8,asp.net,N
656866,<web-crawler>,-1,3/18/2009 3:18,345,1,0,,1965,156382,1,7,null,N
425424,<c#><data-binding><ado.net>,0,1/8/2009 18:59,10467,2,0,1,1965,156382,3,6,c#,N
821075,<.net><diff><filecompare>,0,5/4/2009 17:33,371,3,0,4,1965,156382,3,4,.net,N
475081,<c++><windows><hal>,4,1/23/2009 23:39,3982,5,0,6,1965,156382,3,4,c++,N
808059,<visual-studio-2008><web-services><soap><wsdl>,0,4/30/2009 17:14,6306,2,0,,1965,156382,4,10,soap,N
927441,<javascript><dom><document.write>,3,5/29/2009 18:23,440,1,4,,1965,156382,3,10,javascript,N
1843911,<android>,10,12/3/2009 23:44,10564,3,1,4,1965,156382,1,12,android,N
998721,<regex>,8,6/15/2009 22:20,9576,6,0,4,1965,156382,1,9,regex,N
1134223,<.net><regex><lookbehind>,-2,7/15/2009 21:34,1694,5,3,1,1965,156382,3,7,.net,N
548043,<com><air>,0,2/13/2009 23:07,111,1,0,1,1965,156382,2,7,null,N
1233515,<visual-studio><visual-studio-2005>,0,8/5/2009 14:11,78,2,0,,1967,9693,2,5,null,N
833292,<java><jboss><rmi><jackrabbit>,3,5/7/2009 7:17,3607,1,0,,1969,8040,4,23,java,N
1406931,<java><inheritance><log4j>,1,9/10/2009 18:27,4658,2,4,0,1972,1736,3,5,java,N
1764654,<mysql><tomcat6><jdbc>,1,11/19/2009 16:33,844,1,0,,1972,1736,3,3,mysql,N
1064520,<python><django><api><django-models><django-admin>,2,6/30/2009 15:56,288,2,0,,1982,3541,5,13,python,N
1375078,<visual-studio><visual-studio-2005>,1,9/3/2009 18:20,223,1,0,,1988,961,2,14,null,N
458289,<sql-server><firefox><reporting-services>,2,1/19/2009 16:50,3272,3,1,0,1989,1050,3,17,null,N
484143,<asp.net><iis-6><compression><gzip><webresource.axd>,6,1/27/2009 16:40,5281,5,0,,1989,1050,5,12,asp.net,N
1233939,<asp.net><web-parts>,1,8/5/2009 15:16,148,1,0,,1989,1050,2,13,asp.net,N
1829187,<c><sockets><udp>,5,12/1/2009 21:51,46117,4,1,2,1992,11983,3,4,c,N
813618,<javascript><map><openlayers>,1,5/1/2009 22:48,3116,2,0,,1992,11983,3,12,javascript,N
897907,<versioning><bug-tracking><branch><jira>,2,5/22/2009 13:42,3809,2,0,1,1996,10382,4,7,null,N
962361,<python><sql><postgresql><psycopg2>,19,6/7/2009 17:28,5417,6,4,9,2010,41624,4,9,python,N
1278258,<asp.net><asp.net-mvc><webforms>,3,8/14/2009 14:40,2712,3,4,2,2017,6272,3,4,asp.net,N
1460390,<reporting-services>,6,9/22/2009 14:22,5163,2,1,,2017,6272,1,8,null,N
631905,<html><semantic-markup>,2,3/10/2009 19:30,698,8,0,,2025,42240,2,4,html,N
992565,<apache><.htaccess><mod-rewrite>,0,6/14/2009 10:09,542,4,0,,2025,42240,3,6,null,N
547359,<css><yui-grids>,0,2/13/2009 19:35,202,1,4,,2025,42240,2,8,css,N
722046,<python><monitoring><bandwidth>,2,4/6/2009 15:45,1693,1,0,0,2025,42240,3,3,python,N
575280,<php><cakephp><scaffolding>,1,2/22/2009 17:27,2511,0,0,,2031,9363,3,9,php,N
1541267,<objective-c><xml><iphone><cocoa><nsxmlparser>,7,10/9/2009 0:27,2540,1,5,5,2045,1893,5,10,xml,N
1508066,<iphone><uitableview>,4,10/2/2009 6:53,9392,2,0,3,2045,1893,2,19,null,N
562303,<c>,400,2/18/2009 18:32,457838,1,4,1728,2064,12674,1,7,c,N
1019492,<iphone><core-animation>,11,6/19/2009 18:45,2729,3,1,6,2075,1639,2,7,null,N
1291270,<ios><iphone><uiimagepickercontroller>,17,8/18/2009 0:52,27879,6,2,10,2075,1639,3,8,ios,N
1037356,<java><eclipse><debugging><remote-debugging>,5,6/24/2009 9:36,1948,4,5,1,2077,28203,4,9,java,N
502716,<svn><version-control><documentation>,11,2/2/2009 9:57,1557,7,1,7,2077,28203,3,6,null,N
1400436,<compression>,4,9/9/2009 15:35,1225,3,0,,2077,28203,1,10,null,N
454073,<apache-flex><tree>,2,1/17/2009 21:20,1588,1,0,2,2077,28203,2,18,null,N
1980274,<apache-flex>,1,12/30/2009 13:44,561,3,0,,2077,28203,1,16,null,N
1847873,<apache-flex>,2,12/4/2009 15:56,339,2,0,1,2077,28203,1,16,null,N
1024235,<java><apache-flex><xsd><modeling>,0,6/21/2009 16:15,808,1,0,,2077,28203,4,15,java,N
442878,<apache-flex><tree><icons>,0,1/14/2009 13:12,2639,2,0,,2077,28203,3,14,null,N
1798381,<security><osgi>,2,11/25/2009 17:00,414,1,0,1,2077,28203,2,11,null,N
1574139,<log4j><testng>,6,10/15/2009 18:17,8288,2,1,3,2077,28203,2,9,null,N
615257,<java><calendar>,2,3/5/2009 15:27,2235,5,2,0,2077,28203,2,5,java,N
1559048,<jdbc><osgi><eclipselink>,0,10/13/2009 9:05,959,1,0,,2077,28203,3,11,null,N
1559537,<osgi><eclipselink>,1,10/13/2009 11:03,2576,3,3,1,2077,28203,2,10,null,N
1049510,<jpa><database-design><modeling><polymorphic-associations>,4,6/26/2009 14:40,6173,4,0,1,2077,28203,4,9,null,N
1239470,<javascript>,69,8/6/2009 14:58,18402,7,2,24,2080,4809,1,6,javascript,N
666813,<c#><java><shell><selenium><cruisecontrol.net>,0,3/20/2009 16:05,1819,4,0,,2086,11812,5,13,c#,N
780915,<.net><inversion-of-control>,1,4/23/2009 9:16,128,1,0,,2086,11812,2,8,.net,N
1443222,<java><.net><ruby><frameworks>,1,9/18/2009 8:29,462,5,0,2,2086,11812,4,13,java,N
869490,<algorithm><delphi><language-agnostic><video>,3,5/15/2009 15:52,5024,2,0,2,2089,2629,4,7,null,N
486304,<web-services><delphi>,1,1/28/2009 2:47,407,1,0,,2089,2629,2,9,null,N
1138397,<iphone><version-control>,3,7/16/2009 15:23,306,5,0,3,2089,2629,2,10,null,N
416795,<c#><winforms>,1,1/6/2009 14:46,4237,1,1,,2090,23062,2,6,c#,N
457020,<c++><exception>,11,1/19/2009 9:36,2561,8,0,4,2095,12641,2,11,c++,N
1273385,<c++><inheritance><virtual>,14,8/13/2009 17:17,2425,7,8,8,2095,12641,3,16,c++,N
512841,<c++><string><dll><gcc><libstdc++>,2,2/4/2009 19:13,1496,1,2,,2095,12641,5,8,c++,N
1069013,<windows><character-encoding><midi><codepages><directmusic>,2,7/1/2009 12:58,760,2,2,,2095,12641,5,9,windows,N
1569035,<concurrency><erlang><real-time><message-passing>,9,10/14/2009 21:12,4431,4,0,4,2095,12641,4,8,null,N
1825611,<dependencies><language-design><go>,11,12/1/2009 11:36,1273,3,0,,2095,12641,3,8,null,N
657701,<windows><winapi><networking>,3,3/18/2009 10:26,1427,1,0,,2095,12641,3,11,windows,N
926845,<delphi>,11,5/29/2009 16:13,5810,7,1,4,2098,9884,1,8,null,N
634538,<html><xml><iphone>,0,3/11/2009 13:36,512,3,0,,2104,1193,3,12,html,N
876847,<nhibernate><projection><aggregate-functions>,0,5/18/2009 9:20,468,2,0,,2105,1431,3,7,nhibernate,N
777788,<javascript><virtual-earth>,1,4/22/2009 15:20,126,2,0,,2114,21286,2,15,javascript,N
1632335,<yahoo>,4,10/27/2009 17:16,3274,4,0,1,2115,3276,1,7,null,N
1248829,<linux><bash><command-line><terminal>,1,8/8/2009 13:01,2192,1,0,,2118,8923,4,11,linux,N
668750,<javascript><html><regex><parsing>,0,3/21/2009 4:38,407,3,0,,2118,8923,4,10,javascript,N
826986,<windows><keyboard><keyboard-shortcuts>,4,5/5/2009 21:31,11289,6,1,2,2118,8923,3,7,windows,N
634342,<java><hibernate>,36,3/11/2009 12:42,44605,8,0,9,2119,95959,2,9,java,N
694130,<cocoa>,1,3/29/2009 5:10,782,2,0,1,2119,95959,1,5,cocoa,N
1579512,<http><post>,0,10/16/2009 18:02,334,2,4,,2121,686,2,9,null,N
