Id,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology
2,6,8/12/2009 13:25,204,2,1,1.0,1898,62916,4,4,
5,0,3/17/2009 14:50,2600,2,1,6.099725839616175,1900,7881,3,8,xml
7,0,10/23/2009 5:05,1398,2,0,6.099725839616175,1909,13571,5,5,sharepoint
8,2,11/11/2009 15:54,4172,1,0,6.099725839616175,1909,13571,4,13,sharepoint
12,3,3/6/2009 7:07,4534,3,0,2.0,1918,8355,4,9,
13,14,3/5/2009 9:35,100360,2,0,7.0,1918,8355,4,10,
14,12,12/6/2009 15:21,4141,5,2,11.0,1923,2589,4,5,sql
17,0,5/5/2009 20:29,1513,1,0,2.0,1929,4749,1,6,nhibernate
18,0,4/30/2009 9:29,496,1,0,6.099725839616175,1929,4749,3,7,nhibernate
19,0,4/21/2009 18:59,736,5,3,6.099725839616175,1942,105787,5,4,
20,9,4/1/2009 7:38,536,3,0,7.0,1944,18240,2,7,
21,2,1/19/2009 22:24,3085,4,0,6.099725839616175,1946,66227,2,20,
24,1,1/20/2009 16:15,8532,3,0,6.099725839616175,1946,66227,2,8,
26,1,10/13/2009 20:29,572,3,0,1.0,1946,66227,3,7,
27,0,4/9/2009 14:27,445,1,0,6.099725839616175,1946,66227,1,12,
30,0,10/16/2009 14:59,42,1,1,6.099725839616175,1946,66227,3,13,ruby
31,2,6/19/2009 4:07,2248,6,0,1.0,1946,66227,5,10,
32,2,6/19/2009 13:22,2060,4,5,1.0,1946,66227,5,10,ruby-on-rails
34,24,6/5/2009 22:21,12134,6,0,12.0,1950,99604,4,13,
35,3,10/20/2009 20:44,168,6,0,6.099725839616175,1959,12976,1,6,
37,8,7/7/2009 22:55,7356,2,0,3.0,1965,156382,2,9,
38,1,9/20/2009 3:40,1204,2,2,2.0,1965,156382,1,9,
41,6,6/13/2009 14:48,1278,4,1,2.0,1965,156382,1,9,
44,0,5/11/2009 19:34,282,2,0,6.099725839616175,1965,156382,1,10,
47,-1,3/18/2009 3:18,345,1,0,6.099725839616175,1965,156382,1,7,
51,0,4/30/2009 17:14,6306,2,0,6.099725839616175,1965,156382,4,10,soap
54,8,6/15/2009 22:20,9576,6,0,4.0,1965,156382,1,9,regex
56,0,2/13/2009 23:07,111,1,0,1.0,1965,156382,2,7,
57,0,8/5/2009 14:11,78,2,0,6.099725839616175,1967,9693,2,5,
60,1,11/19/2009 16:33,844,1,0,6.099725839616175,1972,1736,3,3,mysql
61,2,6/30/2009 15:56,288,2,0,6.099725839616175,1982,3541,5,13,python
62,1,9/3/2009 18:20,223,1,0,6.099725839616175,1988,961,2,14,
63,2,1/19/2009 16:50,3272,3,1,0.0,1989,1050,3,17,
68,2,5/22/2009 13:42,3809,2,0,1.0,1996,10382,4,7,
69,19,6/7/2009 17:28,5417,6,4,9.0,2010,41624,4,9,python
71,6,9/22/2009 14:22,5163,2,1,6.099725839616175,2017,6272,1,8,
73,0,6/14/2009 10:09,542,4,0,6.099725839616175,2025,42240,3,6,
75,2,4/6/2009 15:45,1693,1,0,0.0,2025,42240,3,3,python
76,1,2/22/2009 17:27,2511,0,0,6.099725839616175,2031,9363,3,9,php
77,7,10/9/2009 0:27,2540,1,5,5.0,2045,1893,5,10,xml
78,4,10/2/2009 6:53,9392,2,0,3.0,2045,1893,2,19,
80,11,6/19/2009 18:45,2729,3,1,6.0,2075,1639,2,7,
83,11,2/2/2009 9:57,1557,7,1,7.0,2077,28203,3,6,
84,4,9/9/2009 15:35,1225,3,0,6.099725839616175,2077,28203,1,10,
85,2,1/17/2009 21:20,1588,1,0,2.0,2077,28203,2,18,
86,1,12/30/2009 13:44,561,3,0,6.099725839616175,2077,28203,1,16,
87,2,12/4/2009 15:56,339,2,0,1.0,2077,28203,1,16,
89,0,1/14/2009 13:12,2639,2,0,6.099725839616175,2077,28203,3,14,
90,2,11/25/2009 17:00,414,1,0,1.0,2077,28203,2,11,
91,6,10/15/2009 18:17,8288,2,1,3.0,2077,28203,2,9,
93,0,10/13/2009 9:05,959,1,0,6.099725839616175,2077,28203,3,11,
94,1,10/13/2009 11:03,2576,3,3,1.0,2077,28203,2,10,
95,4,6/26/2009 14:40,6173,4,0,1.0,2077,28203,4,9,
100,3,5/15/2009 15:52,5024,2,0,2.0,2089,2629,4,7,
101,1,1/28/2009 2:47,407,1,0,6.099725839616175,2089,2629,2,9,
102,3,7/16/2009 15:23,306,5,0,3.0,2089,2629,2,10,
107,2,7/1/2009 12:58,760,2,2,6.099725839616175,2095,12641,5,9,windows
108,9,10/14/2009 21:12,4431,4,0,4.0,2095,12641,4,8,
109,11,12/1/2009 11:36,1273,3,0,6.099725839616175,2095,12641,3,8,
110,3,3/18/2009 10:26,1427,1,0,6.099725839616175,2095,12641,3,11,windows
111,11,5/29/2009 16:13,5810,7,1,4.0,2098,9884,1,8,
113,0,5/18/2009 9:20,468,2,0,6.099725839616175,2105,1431,3,7,nhibernate
115,4,10/27/2009 17:16,3274,4,0,1.0,2115,3276,1,7,
118,4,5/5/2009 21:31,11289,6,1,2.0,2118,8923,3,7,windows
121,0,10/16/2009 18:02,334,2,4,6.099725839616175,2121,686,2,9,
122,0,5/2/2009 19:25,1344,5,0,6.099725839616175,2128,37258,4,7,php
123,12,11/14/2009 7:42,5276,7,1,6.0,2128,37258,2,4,python
124,1,7/3/2009 7:50,1955,2,0,6.099725839616175,2128,37258,2,4,php
127,1,6/4/2009 8:49,276,2,1,1.0,2133,26850,2,15,
128,0,3/3/2009 13:34,735,2,0,6.099725839616175,2133,26850,3,19,
129,4,3/26/2009 11:06,5398,5,1,1.0,2133,26850,2,8,
131,4,2/24/2009 22:49,476,4,0,1.0,2133,26850,2,11,
132,3,2/24/2009 22:38,6740,4,1,1.0,2133,26850,2,9,
133,4,9/21/2009 22:55,1001,4,0,1.0,2135,757,4,10,
134,0,5/1/2009 0:38,389,1,1,6.099725839616175,2136,1224,4,9,
135,0,3/6/2009 17:17,2385,2,0,6.099725839616175,2137,2615,2,8,
138,2,10/21/2009 14:55,370,1,1,6.099725839616175,2138,70119,2,9,
142,1,1/16/2009 12:06,3887,2,0,1.0,2138,70119,1,6,
148,0,10/15/2009 10:54,3279,1,0,6.099725839616175,2138,70119,2,8,
150,0,1/2/2009 11:20,1386,1,0,6.099725839616175,2138,70119,3,11,tomcat
153,4,9/28/2009 17:06,10230,2,1,3.0,2138,70119,2,7,
156,0,9/28/2009 9:41,1215,1,3,6.099725839616175,2138,70119,1,9,
158,1,6/22/2009 16:14,1737,2,0,6.099725839616175,2138,70119,2,8,tomcat
159,2,6/3/2009 16:16,1222,2,0,6.099725839616175,2138,70119,2,10,tomcat
163,31,8/24/2009 13:54,9525,3,0,6.0,2147,166569,3,6,
164,2,11/4/2009 16:02,255,5,0,3.0,2147,166569,4,23,python
166,11,12/16/2009 13:16,1271,3,1,3.0,2147,166569,4,11,python
167,0,7/20/2009 18:41,204,1,0,6.099725839616175,2147,166569,2,8,python
168,84,12/11/2009 15:33,29558,9,0,33.0,2147,166569,5,14,
171,0,11/6/2009 17:44,572,2,1,1.0,2147,166569,4,8,python
173,0,10/8/2009 19:09,155,1,7,6.099725839616175,2147,166569,4,13,sql
174,2,9/29/2009 18:09,1640,7,0,6.099725839616175,2147,166569,5,11,sql
176,4,4/8/2009 16:09,1238,7,3,3.0,2147,166569,3,8,
177,2,11/12/2009 21:07,392,2,0,0.0,2147,166569,2,8,
178,2,10/27/2009 14:45,3158,1,0,2.0,2147,166569,3,19,sql
