Id,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology
0,8,1093,1631,1,0,1,1119,502,4,12,1
6,6,829,105,4,7,7,385,74,3,4,21
8,5,268,1540,1,0,7,1292,737,3,5,15
9,7,1529,1272,6,2,7,450,1373,1,2,4
10,1,1834,324,1,3,7,772,691,1,3,26
11,3,85,55,4,0,7,338,1287,0,2,1
12,14,1785,2474,3,1,2,28,1246,2,9,0
13,18,316,2250,7,2,12,231,1214,3,8,1
15,9,1694,201,3,2,7,867,1265,0,9,1
17,6,254,928,2,0,7,1238,1303,4,7,1
20,13,303,649,4,0,2,1169,1404,2,5,1
22,15,1265,2456,3,1,4,450,1373,0,11,3
24,9,402,2095,7,1,4,28,1246,3,11,13
26,11,1549,2164,5,0,1,354,1138,2,8,1
28,16,1371,1688,2,0,8,167,1044,4,3,8
31,22,290,2219,8,0,2,16,924,1,7,0
35,7,518,1361,4,3,7,1084,831,4,10,7
36,7,366,1134,2,3,7,338,1287,3,7,8
37,6,1243,178,1,0,1,890,1338,1,8,1
38,6,1395,704,3,0,7,1086,1111,3,3,29
39,4,487,464,2,3,0,338,1287,2,14,1
41,8,204,94,1,0,7,1196,1250,3,11,1
43,8,1014,794,4,4,1,29,1252,3,8,1
46,5,593,1081,2,0,7,440,848,4,4,32
47,10,1036,1575,3,0,7,778,1316,2,11,14
53,8,733,1260,2,0,7,49,1009,3,9,26
54,5,811,177,1,0,7,312,1269,2,9,1
58,39,1572,1782,13,17,13,585,1320,2,7,1
63,6,1929,86,1,4,7,608,498,3,7,1
64,8,2002,1789,2,1,1,588,1383,4,6,16
66,6,372,1415,2,0,7,115,1282,0,19,1
67,7,127,268,1,3,7,751,321,2,6,1
68,7,305,481,1,0,7,723,1312,2,7,8
69,8,830,155,1,0,0,586,195,2,11,9
70,6,981,2026,2,0,7,98,1179,0,8,1
72,8,1775,1127,2,1,1,831,1146,2,4,1
73,6,1609,545,2,0,7,946,296,1,14,1
76,8,1727,290,1,0,7,712,931,2,7,27
78,4,1868,289,1,0,7,450,1373,0,6,1
81,10,938,1390,1,0,7,517,855,0,6,36
82,8,704,192,1,0,1,229,781,1,9,19
83,9,148,1947,2,0,7,375,821,2,4,1
85,7,1342,969,3,0,7,367,1267,4,7,8
86,5,509,920,1,0,7,1062,1006,1,10,1
87,6,1951,895,2,3,7,67,1094,2,7,9
88,37,315,2667,8,0,20,892,192,3,14,1
89,6,1492,538,2,0,7,324,689,1,5,9
90,9,611,1608,2,0,1,774,58,2,14,8
91,7,259,1265,1,0,7,67,1094,4,6,8
93,6,693,939,0,0,7,790,516,1,10,16
94,5,1741,220,1,0,7,6,949,0,19,4
95,6,2181,115,2,0,7,820,283,2,3,0
97,6,137,1255,1,0,7,1008,1393,2,9,36
98,12,934,227,2,13,7,402,966,3,11,26
102,6,1869,17,2,0,7,281,712,1,12,0
105,7,1095,1129,2,0,7,1313,1335,2,8,1
107,5,614,648,1,0,7,1326,626,4,11,36
108,6,1443,2108,1,1,0,65,890,3,7,8
110,17,118,2141,7,0,10,594,512,2,7,15
115,6,1356,415,1,0,7,117,777,1,11,3
116,10,374,2178,2,3,2,412,1045,2,7,26
118,7,944,656,1,0,7,617,995,2,12,1
121,6,1286,86,2,0,7,919,1277,1,6,1
123,60,2047,2776,6,0,13,28,1246,4,14,0
124,6,765,1095,2,0,1,1035,1260,2,7,1
128,5,2118,396,2,0,7,18,711,1,3,1
129,6,787,420,2,4,7,26,417,1,5,1
130,6,1079,1203,3,0,1,67,1094,1,6,8
131,10,1429,472,4,0,7,890,1338,1,15,1
132,6,1389,473,1,1,7,48,1190,4,16,21
133,52,888,2697,4,4,11,202,629,3,4,15
136,5,881,78,4,1,7,597,1222,0,8,1
138,10,1696,289,3,0,3,338,1287,1,9,1
139,6,1275,144,1,1,1,309,614,2,14,21
141,12,728,1557,1,5,5,463,193,4,9,37
