,Unnamed: 0,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology,cluster
0,5319,8,1093,1631,1,0,1,1119,502,4,12,1,0
1,1799,6,2380,80,2,0,7,476,992,1,14,16,1
2,532,5,3372,1223,3,0,0,861,293,2,7,1,1
3,6042,10,3800,428,2,0,1,1091,845,1,5,1,1
4,1714,8,2565,1434,1,0,7,447,1290,2,10,22,1
5,5237,5,2927,483,1,0,7,210,960,3,7,16,1
6,5258,6,829,105,4,7,7,385,74,3,4,21,0
7,5495,6,2453,251,0,0,1,830,225,2,4,15,1
8,1245,5,268,1540,1,0,7,1292,737,3,5,15,0
9,1730,7,1529,1272,6,2,7,450,1373,1,2,4,0
10,5994,1,1834,324,1,3,7,772,691,1,3,26,0
11,2535,3,85,55,4,0,7,338,1287,0,2,1,0
12,660,14,1785,2474,3,1,2,28,1246,2,9,0,0
13,4060,18,316,2250,7,2,12,231,1214,3,8,1,0
14,3940,6,2797,990,3,0,7,211,906,1,8,0,1
15,571,9,1694,201,3,2,7,867,1265,0,9,1,0
16,5381,5,3184,95,0,2,7,624,1023,4,6,1,1
17,4481,6,254,928,2,0,7,1238,1303,4,7,1,0
18,2300,7,2786,315,1,0,1,26,417,3,6,16,1
19,2864,11,2769,2370,4,0,4,1314,73,1,6,4,1
20,3742,13,303,649,4,0,2,1169,1404,2,5,1,0
21,2495,8,3556,1053,1,4,0,1065,1069,4,5,9,1
22,53,15,1265,2456,3,1,4,450,1373,0,11,3,0
23,1913,5,3548,872,1,0,7,1001,33,3,20,8,1
24,680,9,402,2095,7,1,4,28,1246,3,11,13,0
25,5056,6,3519,299,1,5,7,939,405,2,7,2,1
26,2769,11,1549,2164,5,0,1,354,1138,2,8,1,0
27,4318,16,4397,1842,4,0,7,649,1257,1,7,15,1
28,5050,16,1371,1688,2,0,8,167,1044,4,3,8,0
29,2077,6,4088,1676,3,0,7,307,125,3,5,1,1
30,1072,78,2831,2777,7,1,41,577,814,1,5,27,1
31,2134,22,290,2219,8,0,2,16,924,1,7,0,0
32,3095,7,3256,622,2,0,7,588,1383,2,5,1,1
33,2028,5,4168,66,1,0,7,530,573,0,4,1,1
34,4079,6,4010,194,2,2,7,930,1367,1,8,1,1
35,6003,7,518,1361,4,3,7,1084,831,4,10,7,0
36,871,7,366,1134,2,3,7,338,1287,3,7,8,0
37,2653,6,1243,178,1,0,1,890,1338,1,8,1,0
38,1642,6,1395,704,3,0,7,1086,1111,3,3,29,0
39,2604,4,487,464,2,3,0,338,1287,2,14,1,0
40,402,17,4433,2713,4,0,4,1022,1389,4,7,1,1
41,4244,8,204,94,1,0,7,1196,1250,3,11,1,0
42,2157,6,4225,1115,2,1,7,18,709,2,3,4,1
43,2381,8,1014,794,4,4,1,29,1252,3,8,1,0
44,227,9,3949,997,1,2,7,512,377,3,8,8,1
45,5352,6,3919,117,1,0,7,1006,418,3,4,15,1
46,1692,5,593,1081,2,0,7,440,848,4,4,32,0
47,6124,10,1036,1575,3,0,7,778,1316,2,11,14,0
48,4905,6,2330,390,0,0,7,83,1202,3,11,1,1
49,2020,5,3721,480,1,0,7,297,1079,2,6,1,1
50,3373,5,3973,548,1,0,7,18,711,1,3,1,1
51,1505,6,3455,127,3,0,7,1074,1236,2,14,8,1
52,4816,10,3944,706,1,3,2,30,569,2,5,8,1
53,3431,8,733,1260,2,0,7,49,1009,3,9,26,0
54,2136,5,811,177,1,0,7,312,1269,2,9,1,0
55,2891,7,2989,1155,1,0,7,363,511,2,2,9,1
56,1836,5,4420,1753,2,0,7,487,1304,1,12,15,1
