,Score,CreationDate,ViewCount,AnswerCount,CommentCount,FavoriteCount,AskerId,Reputation,TagCount,TitleLength,Technology
5319,8,1093,1631,1,0,1,1119,502,4,12,1
1799,6,2380,80,2,0,7,476,992,1,14,16
532,5,3372,1223,3,0,0,861,293,2,7,1
6042,10,3800,428,2,0,1,1091,845,1,5,1
1714,8,2565,1434,1,0,7,447,1290,2,10,22
5237,5,2927,483,1,0,7,210,960,3,7,16
5258,6,829,105,4,7,7,385,74,3,4,21
5495,6,2453,251,0,0,1,830,225,2,4,15
1245,5,268,1540,1,0,7,1292,737,3,5,15
1730,7,1529,1272,6,2,7,450,1373,1,2,4
5994,1,1834,324,1,3,7,772,691,1,3,26
2535,3,85,55,4,0,7,338,1287,0,2,1
660,14,1785,2474,3,1,2,28,1246,2,9,0
4060,18,316,2250,7,2,12,231,1214,3,8,1
3940,6,2797,990,3,0,7,211,906,1,8,0
571,9,1694,201,3,2,7,867,1265,0,9,1
5381,5,3184,95,0,2,7,624,1023,4,6,1
4481,6,254,928,2,0,7,1238,1303,4,7,1
2300,7,2786,315,1,0,1,26,417,3,6,16
2864,11,2769,2370,4,0,4,1314,73,1,6,4
3742,13,303,649,4,0,2,1169,1404,2,5,1
2495,8,3556,1053,1,4,0,1065,1069,4,5,9
53,15,1265,2456,3,1,4,450,1373,0,11,3
1913,5,3548,872,1,0,7,1001,33,3,20,8
680,9,402,2095,7,1,4,28,1246,3,11,13
5056,6,3519,299,1,5,7,939,405,2,7,2
2769,11,1549,2164,5,0,1,354,1138,2,8,1
4318,16,4397,1842,4,0,7,649,1257,1,7,15
5050,16,1371,1688,2,0,8,167,1044,4,3,8
2077,6,4088,1676,3,0,7,307,125,3,5,1
1072,78,2831,2777,7,1,41,577,814,1,5,27
2134,22,290,2219,8,0,2,16,924,1,7,0
3095,7,3256,622,2,0,7,588,1383,2,5,1
2028,5,4168,66,1,0,7,530,573,0,4,1
4079,6,4010,194,2,2,7,930,1367,1,8,1
6003,7,518,1361,4,3,7,1084,831,4,10,7
871,7,366,1134,2,3,7,338,1287,3,7,8
2653,6,1243,178,1,0,1,890,1338,1,8,1
1642,6,1395,704,3,0,7,1086,1111,3,3,29
2604,4,487,464,2,3,0,338,1287,2,14,1
402,17,4433,2713,4,0,4,1022,1389,4,7,1
4244,8,204,94,1,0,7,1196,1250,3,11,1
2157,6,4225,1115,2,1,7,18,709,2,3,4
2381,8,1014,794,4,4,1,29,1252,3,8,1
227,9,3949,997,1,2,7,512,377,3,8,8
5352,6,3919,117,1,0,7,1006,418,3,4,15
1692,5,593,1081,2,0,7,440,848,4,4,32
6124,10,1036,1575,3,0,7,778,1316,2,11,14
4905,6,2330,390,0,0,7,83,1202,3,11,1
2020,5,3721,480,1,0,7,297,1079,2,6,1
3373,5,3973,548,1,0,7,18,711,1,3,1
1505,6,3455,127,3,0,7,1074,1236,2,14,8
4816,10,3944,706,1,3,2,30,569,2,5,8
3431,8,733,1260,2,0,7,49,1009,3,9,26
2136,5,811,177,1,0,7,312,1269,2,9,1
2891,7,2989,1155,1,0,7,363,511,2,2,9
1836,5,4420,1753,2,0,7,487,1304,1,12,15
5613,7,2817,541,0,1,7,404,772,2,5,1
1318,39,1572,1782,13,17,13,585,1320,2,7,1
2174,7,3195,985,3,0,3,858,804,2,4,15
728,6,2613,132,1,0,1,1260,555,3,3,16
4610,6,3844,41,1,1,7,982,1038,3,5,1
3162,6,4303,184,2,0,1,375,821,0,8,4
3817,6,1929,86,1,4,7,608,498,3,7,1
3105,8,2002,1789,2,1,1,588,1383,4,6,16
3530,8,2462,1648,1,6,1,91,528,1,11,8
3666,6,372,1415,2,0,7,115,1282,0,19,1
3576,7,127,268,1,3,7,751,321,2,6,1
5449,7,305,481,1,0,7,723,1312,2,7,8
3026,8,830,155,1,0,0,586,195,2,11,9
3595,6,981,2026,2,0,7,98,1179,0,8,1
825,6,3524,2031,3,0,7,1065,1069,3,6,9
5496,8,1775,1127,2,1,1,831,1146,2,4,1
5084,6,1609,545,2,0,7,946,296,1,14,1
520,17,3760,2548,3,2,3,859,559,2,5,15
4330,7,3311,208,2,1,7,1196,1250,4,10,1
5980,8,1727,290,1,0,7,712,931,2,7,27
2647,5,3794,830,2,4,7,62,328,0,10,1
47,4,1868,289,1,0,7,450,1373,0,6,1
5952,6,3261,77,3,1,7,432,903,1,8,8
5592,5,4372,119,1,0,7,252,801,2,14,1
1937,10,938,1390,1,0,7,517,855,0,6,36
5303,8,704,192,1,0,1,229,781,1,9,19
3163,9,148,1947,2,0,7,375,821,2,4,1
4561,6,4445,1416,4,1,7,1245,996,0,7,29
2945,7,1342,969,3,0,7,367,1267,4,7,8
